row ID,row m/z,row retention time,Library Peak area,
row ID,name,ion type,comment,SMILES,InChI
1,318.08730,0,1,
2,318.08730,0,1,
3,318.08730,0,1,
4,318.08730,0,1,
5,318.08730,0,1,
6,340.06930,0,1,
7,340.06930,0,1,
8,340.06930,0,1,
9,340.06930,0,1,
10,477.15330,0,1,
11,477.15330,0,1,
12,477.15330,0,1,
13,477.15330,0,1,
14,477.15330,0,1,
15,477.15330,0,1,
16,477.15330,0,1,
17,463.13770,0,1,
18,463.13770,0,1,
19,463.13770,0,1,
20,463.13770,0,1,
21,463.13770,0,1,
22,463.13770,0,1,
23,463.13770,0,1,
24,340.06930,0,1,
25,340.06930,0,1,
26,340.06930,0,1,
27,340.06930,0,1,
28,318.08730,0,1,
29,318.08730,0,1,
30,318.08730,0,1,
31,318.08730,0,1,
32,318.08730,0,1,
33,318.08730,0,1,
34,207.87000,0,1,
35,207.87000,0,1,
36,207.87000,0,1,
37,207.87000,0,1,
38,207.87000,0,1,
39,207.87000,0,1,
40,207.87000,0,1,
41,207.87000,0,1,
42,207.87000,0,1,
43,207.87000,0,1,
44,218.97000,0,1,
45,218.97000,0,1,
46,218.97000,0,1,
47,218.97000,0,1,
48,218.97000,0,1,
49,218.97000,0,1,
50,218.97000,0,1,
51,218.97000,0,1,
52,575.07880,0,1,
53,575.07880,0,1,
54,575.07880,0,1,
55,575.07880,0,1,
56,575.07880,0,1,
57,575.07880,0,1,
58,575.07880,0,1,
59,575.07880,0,1,
60,575.07880,0,1,
61,575.07880,0,1,
62,575.07880,0,1,
63,575.07880,0,1,
64,575.07880,0,1,
65,575.07880,0,1,
66,575.07880,0,1,
67,575.07880,0,1,
68,575.07880,0,1,
69,575.07880,0,1,
70,575.07880,0,1,
71,575.07880,0,1,
72,575.07880,0,1,
73,575.07880,0,1,
74,575.07880,0,1,
75,575.07880,0,1,
76,575.07880,0,1,
77,575.07880,0,1,
78,575.07880,0,1,
79,575.07880,0,1,
80,270.09000,0,1,
81,270.09000,0,1,
82,270.09000,0,1,
83,270.09000,0,1,
84,270.09000,0,1,
85,270.09000,0,1,
86,270.09000,0,1,
87,270.09000,0,1,
88,270.09000,0,1,
89,270.09000,0,1,
90,270.09000,0,1,
91,281.09000,0,1,
92,281.09000,0,1,
93,281.09000,0,1,
94,281.09000,0,1,
95,281.09000,0,1,
96,281.09000,0,1,
97,281.09000,0,1,
98,281.09000,0,1,
99,339.07240,0,1,
100,339.07240,0,1,
101,339.07240,0,1,
102,339.07240,0,1,
103,339.07240,0,1,
104,339.07240,0,1,
105,361.05000,0,1,
106,361.05000,0,1,
107,361.05000,0,1,
108,361.05000,0,1,
109,361.05000,0,1,
110,361.05000,0,1,
111,361.05000,0,1,
112,361.05000,0,1,
113,361.05000,0,1,
114,345.15970,0,1,
115,345.15970,0,1,
116,345.15970,0,1,
117,345.15970,0,1,
118,345.15970,0,1,
119,345.15970,0,1,
120,345.15970,0,1,
121,345.15970,0,1,
122,345.15970,0,1,
123,345.15970,0,1,
124,345.15970,0,1,
125,385.19160,0,1,
126,385.19160,0,1,
127,385.19160,0,1,
128,385.19160,0,1,
129,385.19160,0,1,
130,385.19160,0,1,
131,385.19160,0,1,
132,385.19160,0,1,
133,385.19160,0,1,
134,385.19160,0,1,
135,401.22230,0,1,
136,401.22230,0,1,
137,401.22230,0,1,
138,401.22230,0,1,
139,401.22230,0,1,
140,401.22230,0,1,
141,401.22230,0,1,
142,401.22230,0,1,
143,401.22230,0,1,
144,401.22230,0,1,
145,401.22230,0,1,
146,401.22230,0,1,
147,446.11110,0,1,
148,446.11110,0,1,
149,446.11110,0,1,
150,446.11110,0,1,
151,615.14060,0,1,
152,615.14060,0,1,
153,615.14060,0,1,
154,615.14060,0,1,
155,615.14060,0,1,
156,633.15110,0,1,
157,633.15110,0,1,
158,633.15110,0,1,
159,633.15110,0,1,
160,633.15110,0,1,
161,633.15110,0,1,
162,633.15110,0,1,
163,633.15110,0,1,
164,633.15110,0,1,
165,633.15110,0,1,
166,244.11000,0,1,
167,244.11000,0,1,
168,244.11000,0,1,
169,244.11000,0,1,
170,244.11000,0,1,
171,244.11000,0,1,
172,244.11000,0,1,
173,431.17140,0,1,
174,431.17140,0,1,
175,431.17140,0,1,
176,431.17140,0,1,
177,431.17140,0,1,
178,431.17140,0,1,
179,431.17140,0,1,
180,431.17140,0,1,
181,620.23830,0,1,
182,620.23830,0,1,
183,620.23830,0,1,
184,620.23830,0,1,
185,620.23830,0,1,
186,620.23830,0,1,
187,440.12740,0,1,
188,440.12740,0,1,
189,440.12740,0,1,
190,440.12740,0,1,
191,440.12740,0,1,
192,440.12740,0,1,
193,440.12740,0,1,
194,440.12740,0,1,
195,609.15690,0,1,
196,322.05030,0,1,
197,322.05030,0,1,
198,322.05030,0,1,
199,322.05030,0,1,
200,322.05030,0,1,
201,322.05030,0,1,
202,357.01920,0,1,
203,357.01920,0,1,
204,357.01920,0,1,
205,357.01920,0,1,
206,357.01920,0,1,
207,357.01920,0,1,
208,357.01920,0,1,
209,357.01920,0,1,
210,379.00110,0,1,
211,379.00110,0,1,
212,379.00110,0,1,
213,379.00110,0,1,
214,379.00110,0,1,
215,379.00110,0,1,
216,362.94660,0,1,
217,362.94660,0,1,
218,362.94660,0,1,
219,362.94660,0,1,
220,362.94660,0,1,
221,362.94660,0,1,
222,362.94660,0,1,
223,392.95720,0,1,
224,392.95720,0,1,
225,392.95720,0,1,
226,392.95720,0,1,
227,392.95720,0,1,
228,392.95720,0,1,
229,392.95720,0,1,
230,414.93910,0,1,
231,154.90000,0,1,
232,154.90000,0,1,
233,154.90000,0,1,
234,154.90000,0,1,
235,163.90000,0,1,
236,163.90000,0,1,
237,163.90000,0,1,
238,163.90000,0,1,
239,163.90000,0,1,
240,163.90000,0,1,
241,163.90000,0,1,
242,163.90000,0,1,
243,172.87000,0,1,
244,172.87000,0,1,
245,172.87000,0,1,
246,172.87000,0,1,
247,326.77000,0,1,
248,326.77000,0,1,
249,326.77000,0,1,
250,326.77000,0,1,
251,326.77000,0,1,
252,326.77000,0,1,
253,326.77000,0,1,
254,326.77000,0,1,
255,326.77000,0,1,
256,341.13000,0,1,
257,341.13000,0,1,
258,341.13000,0,1,
259,334.08200,0,1,
260,334.08200,0,1,
261,334.08200,0,1,
262,334.08200,0,1,
263,484.03810,0,1,
264,484.03810,0,1,
265,484.03810,0,1,
266,484.03810,0,1,
267,484.03810,0,1,
268,484.03810,0,1,
269,506.02000,0,1,
270,506.02000,0,1,
271,506.02000,0,1,
272,506.02000,0,1,
273,506.02000,0,1,
274,376.96460,0,1,
275,376.96460,0,1,
276,376.96460,0,1,
277,376.96460,0,1,
278,376.96460,0,1,
279,376.96460,0,1,
280,376.96460,0,1,
281,466.02750,0,1,
282,466.02750,0,1,
283,466.02750,0,1,
284,466.02750,0,1,
285,466.02750,0,1,
286,466.02750,0,1,
287,466.02750,0,1,
288,466.02750,0,1,
289,573.00000,0,1,
290,573.00000,0,1,
291,423.20420,0,1,
292,423.20420,0,1,
293,423.20420,0,1,
294,423.20420,0,1,
295,423.20420,0,1,
296,440.12740,0,1,
297,462.10940,0,1,
298,462.10940,0,1,
299,462.10940,0,1,
300,462.10940,0,1,
301,462.10940,0,1,
302,462.10940,0,1,
303,462.10940,0,1,
304,609.15690,0,1,
305,609.15690,0,1,
306,609.15690,0,1,
307,609.15690,0,1,
308,609.15690,0,1,
309,609.15690,0,1,
310,609.15690,0,1,
311,609.15690,0,1,
312,609.15690,0,1,
313,609.15690,0,1,
314,649.14940,0,1,
315,649.14940,0,1,
316,649.14940,0,1,
317,649.14940,0,1,
318,649.14940,0,1,
319,649.14940,0,1,
320,649.14940,0,1,
321,649.14940,0,1,
322,649.14940,0,1,
323,649.14940,0,1,
324,665.12330,0,1,
325,665.12330,0,1,
326,665.12330,0,1,
327,665.12330,0,1,
328,665.12330,0,1,
329,665.12330,0,1,
330,343.00360,0,1,
331,343.00360,0,1,
332,343.00360,0,1,
333,491.05460,0,1,
334,491.05460,0,1,
335,514.04440,0,1,
336,449.12200,0,1,
337,449.12200,0,1,
338,449.12200,0,1,
339,427.14010,0,1,
340,409.12950,0,1,
341,409.12950,0,1,
342,409.12950,0,1,
343,409.12950,0,1,
344,334.08220,0,1,
345,334.08220,0,1,
346,334.08220,0,1,
347,334.08220,0,1,
348,313.09720,0,1,
349,313.09720,0,1,
350,313.09720,0,1,
351,313.09720,0,1,
352,313.09720,0,1,
353,313.09720,0,1,
354,631.16400,0,1,
355,631.16400,0,1,
356,631.16400,0,1,
357,631.16400,0,1,
358,623.17140,0,1,
359,623.17140,0,1,
360,623.17140,0,1,
361,484.13050,0,1,
362,484.13050,0,1,
363,484.13050,0,1,
364,484.13050,0,1,
365,472.13030,0,1,
366,285.10270,0,1,
367,285.10270,0,1,
368,285.10270,0,1,
369,285.10270,0,1,
370,256.09910,0,1,
371,256.09910,0,1,
372,414.93910,0,1,
373,414.93910,0,1,
374,414.93910,0,1,
375,414.93910,0,1,
376,414.93910,0,1,
377,414.93910,0,1,
378,414.93910,0,1,
379,414.93910,0,1,
380,414.93910,0,1,
381,414.93910,0,1,
382,343.00360,0,1,
383,343.00360,0,1,
384,343.00360,0,1,
385,364.98550,0,1,
386,491.05460,0,1,
387,1126.44430,0,1,
388,1126.44430,0,1,
389,1126.44430,0,1,
390,645.12910,0,1,
391,645.12910,0,1,
392,645.12910,0,1,
393,645.12910,0,1,
394,623.14720,0,1,
395,623.14720,0,1,
396,623.14720,0,1,
397,623.14720,0,1,
398,623.14720,0,1,
399,623.14720,0,1,
400,623.14720,0,1,
401,623.14720,0,1,
402,595.14110,0,1,
403,436.07260,0,1,
404,436.07260,0,1,
405,436.07260,0,1,
406,436.07260,0,1,
407,436.07260,0,1,
408,327.04720,0,1,
409,327.04720,0,1,
410,327.04720,0,1,
411,327.04720,0,1,
412,327.04720,0,1,
413,327.04720,0,1,
414,327.04720,0,1,
415,251.01370,0,1,
416,251.01370,0,1,
417,251.01370,0,1,
418,251.01370,0,1,
419,251.01370,0,1,
420,251.01370,0,1,
421,620.23830,0,1,
422,620.23830,0,1,
423,620.23830,0,1,
424,620.23830,0,1,
425,620.23830,0,1,
426,431.17140,0,1,
427,431.17140,0,1,
428,431.17140,0,1,
429,431.17140,0,1,
430,243.11280,0,1,
431,243.11280,0,1,
432,243.11280,0,1,
433,673.16040,0,1,
434,673.16040,0,1,
435,673.16040,0,1,
436,673.16040,0,1,
437,673.16040,0,1,
438,651.17850,0,1,
439,651.17850,0,1,
440,651.17850,0,1,
441,651.17850,0,1,
442,450.08830,0,1,
443,450.08830,0,1,
444,450.08830,0,1,
445,450.08830,0,1,
446,450.08830,0,1,
447,251.01370,0,1,
448,251.01370,0,1,
449,251.01370,0,1,
450,251.01370,0,1,
451,251.01370,0,1,
452,343.00400,0,1,
453,343.00400,0,1,
454,343.00400,0,1,
455,328.04830,0,1,
456,328.04830,0,1,
457,328.04830,0,1,
458,270.09160,0,1,
459,270.09160,0,1,
460,270.09160,0,1,
461,270.09160,0,1,
462,257.10750,0,1,
463,257.10750,0,1,
464,257.10750,0,1,
465,257.10750,0,1,
466,463.13770,0,1,
467,463.13770,0,1,
468,903.28610,0,1,
469,774.23640,0,1,
470,774.23640,0,1,
471,423.14510,0,1,
472,423.14510,0,1,
473,423.14510,0,1,
474,423.14510,0,1,
475,334.08220,0,1,
476,334.08220,0,1,
477,334.08220,0,1,
478,334.08220,0,1,
479,334.08220,0,1,
480,334.08220,0,1,
481,441.15570,0,1,
482,441.15570,0,1,
483,441.15570,0,1,
484,441.15570,0,1,
485,218.09570,0,1,
486,218.09570,0,1,
487,218.09570,0,1,
488,703.23160,0,1,
489,703.23160,0,1,
490,703.23160,0,1,
491,341.12850,0,1,
492,341.12850,0,1,
493,341.12850,0,1,
494,341.12850,0,1,
495,341.12850,0,1,
496,341.12850,0,1,
497,341.12850,0,1,
498,341.12850,0,1,
499,680.24180,0,1,
500,680.24180,0,1,
501,680.24180,0,1,
502,679.23450,0,1,
503,679.23450,0,1,
504,679.23450,0,1,
505,679.23450,0,1,
506,679.23450,0,1,
507,679.23450,0,1,
508,326.10500,0,1,
509,326.10500,0,1,
510,313.13350,0,1,
511,313.13350,0,1,
512,313.13350,0,1,
513,313.13350,0,1,
514,313.13350,0,1,
515,313.13350,0,1,
516,313.13350,0,1,
517,1043.35280,0,1,
518,477.15330,0,1,
519,477.15330,0,1,
520,455.17140,0,1,
521,318.08730,0,1,
522,318.08730,0,1,
523,318.08730,0,1,
524,318.08730,0,1,
525,318.08730,0,1,
526,437.16080,0,1,
527,437.16080,0,1,
528,437.16080,0,1,
529,437.16080,0,1,
530,947.29140,0,1,
531,381.01920,0,1,
532,381.01920,0,1,
533,381.01920,0,1,
534,381.01920,0,1,
535,381.01920,0,1,
536,381.01920,0,1,
537,381.01920,0,1,
538,346.05040,0,1,
539,346.05040,0,1,
540,346.05040,0,1,
541,346.05040,0,1,
542,346.05040,0,1,
543,346.05040,0,1,
544,588.11200,0,1,
545,588.11200,0,1,
546,588.11200,0,1,
547,588.11200,0,1,
548,588.11200,0,1,
549,554.15040,0,1,
550,554.15040,0,1,
551,554.15040,0,1,
552,554.15040,0,1,
553,520.18940,0,1,
554,520.18940,0,1,
555,520.18940,0,1,
556,520.18940,0,1,
557,662.15410,0,1,
558,662.15410,0,1,
559,662.15410,0,1,
560,625.18700,0,1,
561,625.18700,0,1,
562,625.18700,0,1,
563,625.18700,0,1,
564,647.16900,0,1,
565,647.16900,0,1,
566,647.16900,0,1,
567,749.23300,0,1,
568,749.23300,0,1,
569,749.23300,0,1,
570,749.23300,0,1,
571,727.25110,0,1,
572,727.25110,0,1,
573,363.10640,0,1,
574,363.10640,0,1,
575,363.10640,0,1,
576,340.11660,0,1,
577,340.11660,0,1,
578,340.11660,0,1,
579,340.11660,0,1,
580,340.11660,0,1,
581,340.11660,0,1,
582,295.10890,0,1,
583,295.10890,0,1,
584,295.10890,0,1,
585,295.10890,0,1,
586,295.10890,0,1,
587,279.11400,0,1,
588,279.11400,0,1,
589,279.11400,0,1,
590,279.11400,0,1,
591,279.11400,0,1,
592,417.01280,0,1,
593,417.01280,0,1,
594,394.02300,0,1,
595,394.02300,0,1,
596,394.02300,0,1,
597,394.02300,0,1,
598,394.02300,0,1,
599,394.02300,0,1,
600,393.01520,0,1,
601,393.01520,0,1,
602,393.01520,0,1,
603,377.02030,0,1,
604,377.02030,0,1,
605,377.02030,0,1,
606,377.02030,0,1,
607,377.02030,0,1,
608,349.01410,0,1,
609,349.01410,0,1,
610,349.01410,0,1,
611,349.01410,0,1,
612,349.01410,0,1,
613,651.12850,0,1,
614,651.12850,0,1,
615,651.12850,0,1,
616,651.12850,0,1,
617,628.13870,0,1,
618,628.13870,0,1,
619,628.13870,0,1,
620,439.07560,0,1,
621,439.07560,0,1,
622,439.07560,0,1,
623,439.07560,0,1,
624,251.01370,0,1,
625,251.01370,0,1,
626,251.01370,0,1,
627,251.01370,0,1,
628,455.17140,0,1,
629,455.17140,0,1,
630,455.17140,0,1,
631,455.17140,0,1,
632,679.15980,0,1,
633,656.17000,0,1,
634,656.17000,0,1,
635,656.17000,0,1,
636,453.08800,0,1,
637,453.08800,0,1,
638,453.08800,0,1,
639,453.08800,0,1,
640,409.11190,0,1,
641,409.11190,0,1,
642,409.11190,0,1,
643,386.12210,0,1,
644,386.12210,0,1,
645,386.12210,0,1,
646,386.12210,0,1,
647,386.12210,0,1,
648,386.12210,0,1,
649,534.12540,0,1,
650,534.12540,0,1,
651,534.12540,0,1,
652,534.12540,0,1,
653,534.12540,0,1,
654,371.13600,0,1,
655,371.13600,0,1,
656,371.13600,0,1,
657,371.13600,0,1,
658,818.10070,0,1,
659,818.10070,0,1,
660,533.05450,0,1,
661,533.05450,0,1,
662,533.05450,0,1,
663,533.05450,0,1,
664,533.05450,0,1,
665,613.11300,0,1,
666,613.11300,0,1,
667,613.11300,0,1,
668,613.11300,0,1,
669,590.12330,0,1,
670,398.07880,0,1,
671,398.07880,0,1,
672,329.05720,0,1,
673,329.05720,0,1,
674,315.04150,0,1,
675,694.79090,0,1,
676,694.79090,0,1,
677,694.79090,0,1,
678,694.79090,0,1,
679,694.79090,0,1,
680,694.79090,0,1,
681,694.79090,0,1,
682,404.09650,0,1,
683,404.09650,0,1,
684,404.09650,0,1,
685,404.09650,0,1,
686,381.10680,0,1,
687,381.10680,0,1,
688,381.10680,0,1,
689,381.10680,0,1,
690,381.10680,0,1,
691,240.10160,0,1,
692,240.10160,0,1,
693,240.10160,0,1,
694,240.10160,0,1,
695,240.10160,0,1,
696,240.10160,0,1,
697,149.05840,0,1,
698,149.05840,0,1,
699,149.05840,0,1,
700,149.05840,0,1,
701,149.05840,0,1,
702,404.99050,0,1,
703,404.99050,0,1,
704,404.99050,0,1,
705,404.99050,0,1,
706,593.15860,0,1,
707,593.15860,0,1,
708,593.15860,0,1,
709,424.12920,0,1,
710,424.12920,0,1,
711,424.12920,0,1,
712,424.12920,0,1,
713,424.12920,0,1,
714,424.12920,0,1,
