,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,Intensity,ppm error,
Data File,MS Level,Spectrum ID,Spectrum Name,Spectrum Description,Matched Signals,Combined Score (2.0x Score+Explained Lib Intensity),Score,Explained Lib Intensity,Explained Lib Signals,Total Lib Signals,Explained Query Intensity,Explained Query Signals,Total Query Signals,Entry ID,Name,Synonym,Comment,Ion type,RT,Precursor m/z,Charge,Ion mode,Collision energy,Formula,Mol. weight,Exact mass,InChI,InChI key,SMILES,CAS,Pubmed,Pubchem,MoNA ID,Chemspider,Instrument type,Instrument,Ion source,Num peaks,Acquisition,Principal investigator,Data collector,Software,Ms level,Resolution,Compound Name,[M-e]+,[M-e]+,[M+H]+,[M+H]+,[M+Na]+,[M+Na]+,[M-H+2Na]+,[M-H+2Na]+,[M+K]+,[M+K]+,[M-H2O+H]+,[M-H2O+H]+,[M-C2H4+H]+,[M-C2H4+H]+,[M--Cl+H-e]+,[M--Cl+H-e]+,[M-2-Cl+H-e]+,[M-2-Cl+H-e]+,[M--Cl+H+H]+,[M--Cl+H+H]+,[M-2-Cl+H+H]+,[M-2-Cl+H+H]+,[2M-e]+,[2M-e]+,[2M+H]+,[2M+H]+,[2M+Na]+,[2M+Na]+,[2M-H+2Na]+,[2M-H+2Na]+,[2M+K]+,[2M+K]+,[2M-H2O+H]+,[2M-H2O+H]+,[2M-C2H4+H]+,[2M-C2H4+H]+,[2M--Cl+H-e]+,[2M--Cl+H-e]+,[2M-2-Cl+H-e]+,[2M-2-Cl+H-e]+,[2M--Cl+H+H]+,[2M--Cl+H+H]+,[2M-2-Cl+H+H]+,[2M-2-Cl+H+H]+,Compound Name
"29_1neg.imzML",1,,,,20,0.9153616427573703,0.9009753230164864,0.9441342822391382,20,32,0.7049302926057419,20,33,14,Pigment Red 170,,PR 170; pure,,,,,Negative,,C26H22N4O4,,454.1641,"InChI=1S/C26H22N4O4/c1-2-34-22-10-6-5-9-21(22)28-26(33)20-15-17-7-3-4-8-19(17)23(24(20)31)30-29-18-13-11-16(12-14-18)25(27)32/h3-15,31H,2H2,1H3,(H2,27,32)(H,28,33)",BGVYDWVAGZBEMJ-UHFFFAOYSA-N,CCOC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,2786-76-7,https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 170,1.4E4,-2.77,2.6E3,-11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 170
"29_1neg.imzML",1,,,,17,0.9079673298393661,0.8892201276916064,0.9454617341348857,17,32,0.6680584551148225,17,28,14,Pigment Red 170,,PR 170; pure,,,,,Negative,,C26H22N4O4,,454.1641,"InChI=1S/C26H22N4O4/c1-2-34-22-10-6-5-9-21(22)28-26(33)20-15-17-7-3-4-8-19(17)23(24(20)31)30-29-18-13-11-16(12-14-18)25(27)32/h3-15,31H,2H2,1H3,(H2,27,32)(H,28,33)",BGVYDWVAGZBEMJ-UHFFFAOYSA-N,CCOC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,2786-76-7,https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 170,9.4E3,-2.77,2.0E3,-11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 170
"29_1neg.imzML",1,,,,3,0.8761563934671645,0.9335113017889441,0.7614465768236048,3,45,0.0013152999436912708,3,33,15,Pigment Red 170,,PR 170; pure; 1200 sum,,,,,Negative,,C26H22N4O4,,454.1641,"InChI=1S/C26H22N4O4/c1-2-34-22-10-6-5-9-21(22)28-26(33)20-15-17-7-3-4-8-19(17)23(24(20)31)30-29-18-13-11-16(12-14-18)25(27)32/h3-15,31H,2H2,1H3,(H2,27,32)(H,28,33)",BGVYDWVAGZBEMJ-UHFFFAOYSA-N,CCOC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,2786-76-7,https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 170,8.4E3,0.52,1.1E3,-6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 170
"29_1neg.imzML",1,,,,29,0.84160440060728,0.8381189622243075,0.8485752773732249,29,96,0.9822326833607544,29,33,17,"Pigment Red 210, Pigment Red 266 and Pigment Red 170",,PR 210; PR 266 and PR 170; hybrid pure,,,,,Negative,,C25H20N4O4,,440.1484,"InChI=1S/C25H20N4O4/c1-33-21-9-5-4-8-20(21)27-25(32)19-14-16-6-2-3-7-18(16)22(23(19)30)29-28-17-12-10-15(11-13-17)24(26)31/h2-14,30H,1H3,(H2,26,31)(H,27,32)",HULNYTPFPARJMG-UHFFFAOYSA-N,COC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,36968-27-1,https://pubchem.ncbi.nlm.nih.gov/compound/162235; https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,"Pigment Red 210, Pigment Red 266 and Pigment Red 170",8.4E3,2.30,1.6E3,-9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pigment Red 210, Pigment Red 266 and Pigment Red 170"
"29_1neg.imzML",1,,,,15,0.8374427162049836,0.869192819529197,0.7739425095565565,15,96,0.6860568849706129,15,20,17,"Pigment Red 210, Pigment Red 266 and Pigment Red 170",,PR 210; PR 266 and PR 170; hybrid pure,,,,,Negative,,C25H20N4O4,,440.1484,"InChI=1S/C25H20N4O4/c1-33-21-9-5-4-8-20(21)27-25(32)19-14-16-6-2-3-7-18(16)22(23(19)30)29-28-17-12-10-15(11-13-17)24(26)31/h2-14,30H,1H3,(H2,26,31)(H,27,32)",HULNYTPFPARJMG-UHFFFAOYSA-N,COC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,36968-27-1,https://pubchem.ncbi.nlm.nih.gov/compound/162235; https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,"Pigment Red 210, Pigment Red 266 and Pigment Red 170",2.3E3,2.30,6.1E2,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pigment Red 210, Pigment Red 266 and Pigment Red 170"
"29_1neg.imzML",1,,,,39,0.46941441927908695,0.5051460766092973,0.3979511046186662,39,184,0.7167842368659251,39,80,1,Pigment Red 57,,PR 57; pure,,,,,negative,,C18H14N2O6S,,386.0573,"InChI=1S/C18H14N2O6S/c1-10-6-7-14(15(8-10)27(24,25)26)19-20-16-12-5-3-2-4-11(12)9-13(17(16)21)18(22)23/h2-9,21H,1H3,(H,22,23)(H,24,25,26)  ",JYNBEDVXQNFTOX-UHFFFAOYSA-N  ,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)O)S(=O)(=O)O  ,16014-23-6  ,https://pubchem.ncbi.nlm.nih.gov/compound/22139,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 57
"29_1neg.imzML",1,,,,13,0.4660099621583813,0.6045773398617549,0.18887520675163416,13,623,1.0,13,13,2,Pigment Red 57,,PR 57; pure; 1200sum,,,,,negative,,C18H14N2O6S,,386.0573,"InChI=1S/C18H14N2O6S/c1-10-6-7-14(15(8-10)27(24,25)26)19-20-16-12-5-3-2-4-11(12)9-13(17(16)21)18(22)23/h2-9,21H,1H3,(H,22,23)(H,24,25,26)  ",JYNBEDVXQNFTOX-UHFFFAOYSA-N  ,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)O)S(=O)(=O)O  ,16014-23-6  ,https://pubchem.ncbi.nlm.nih.gov/compound/22139,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 57
"29_1neg.imzML",1,,,,13,0.20806571133826215,0.2941738232490009,0.035849487516784705,13,343,1.0,13,13,7,Pigment Red 53,,PR 53; pure,,,,,Negative,,C17H13ClN2O4S,,376.0285,"InChI=1S/C17H13ClN2O4S/c1-10-8-14(16(9-13(10)18)25(22,23)24)19-20-17-12-5-3-2-4-11(12)6-7-15(17)21/h2-9,21H,1H3,(H,22,23,24)  ",IYHIFXGFKVJNBB-UHFFFAOYSA-N  ,CC1=CC(=C(C=C1Cl)S(=O)(=O)O)N=NC2=C(C=CC3=CC=CC=C32)O  ,15958-19-7  ,https://pubchem.ncbi.nlm.nih.gov/compound/21239,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Carina,mzmine2,1,,Pigment Red 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 53
"29_1neg.imzML",1,,,,8,0.20522273869337715,0.29504088787520316,0.02558644032972509,8,306,0.7524253960456834,8,11,6,Pigment Red 53,,PR 53; pure,,,,,Negative,,C17H13ClN2O4S,,376.0285,"InChI=1S/C17H13ClN2O4S/c1-10-8-14(16(9-13(10)18)25(22,23)24)19-20-17-12-5-3-2-4-11(12)6-7-15(17)21/h2-9,21H,1H3,(H,22,23,24)  ",IYHIFXGFKVJNBB-UHFFFAOYSA-N  ,CC1=CC(=C(C=C1Cl)S(=O)(=O)O)N=NC2=C(C=CC3=CC=CC=C32)O  ,15958-19-7  ,https://pubchem.ncbi.nlm.nih.gov/compound/21239,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Carina,mzmine2,1,,Pigment Red 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 53
"29_1neg.imzML",1,,,,8,0.19243043150915115,0.2853561884484604,0.006578917630532631,8,723,0.7524253960456834,8,11,4,Pigment Red 49,,PR 49; pure; 1200sum,,,,,Negative,,C20H14N2O4S,,378.0674,"InChI=1S/C20H14N2O4S/c23-18-12-10-13-5-1-3-7-15(13)19(18)22-21-17-11-9-14-6-2-4-8-16(14)20(17)27(24,25)26/h1-12,23H,(H,24,25,26)  ",SRPCPRSDICCCRQ-UHFFFAOYSA-N  ,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C4=CC=CC=C4C=C3)S(=O)(=O)O)O  ,29128-55-0  ,https://pubchem.ncbi.nlm.nih.gov/compound/14200,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 49
"29_1neg.imzML",1,,,,22,0.15904506617659073,0.21361862072640084,0.049897957076970555,22,343,0.7626109450961153,22,37,7,Pigment Red 53,,PR 53; pure,,,,,Negative,,C17H13ClN2O4S,,376.0285,"InChI=1S/C17H13ClN2O4S/c1-10-8-14(16(9-13(10)18)25(22,23)24)19-20-17-12-5-3-2-4-11(12)6-7-15(17)21/h2-9,21H,1H3,(H,22,23,24)  ",IYHIFXGFKVJNBB-UHFFFAOYSA-N  ,CC1=CC(=C(C=C1Cl)S(=O)(=O)O)N=NC2=C(C=CC3=CC=CC=C32)O  ,15958-19-7  ,https://pubchem.ncbi.nlm.nih.gov/compound/21239,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Carina,mzmine2,1,,Pigment Red 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 53
"29_1neg.imzML",1,,,,20,0.1423039324402206,0.2071031628340719,0.012705471652517989,20,723,0.7574062149162782,20,33,4,Pigment Red 49,,PR 49; pure; 1200sum,,,,,Negative,,C20H14N2O4S,,378.0674,"InChI=1S/C20H14N2O4S/c23-18-12-10-13-5-1-3-7-15(13)19(18)22-21-17-11-9-14-6-2-4-8-16(14)20(17)27(24,25)26/h1-12,23H,(H,24,25,26)  ",SRPCPRSDICCCRQ-UHFFFAOYSA-N  ,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C4=CC=CC=C4C=C3)S(=O)(=O)O)O  ,29128-55-0  ,https://pubchem.ncbi.nlm.nih.gov/compound/14200,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 49
"43_2neg.imzML",1,,,,7,0.9378504860996794,0.9795288284039796,0.8544938014910791,7,45,0.016230775772830924,7,344,15,Pigment Red 170,,PR 170; pure; 1200 sum,,,,,Negative,,C26H22N4O4,,454.1641,"InChI=1S/C26H22N4O4/c1-2-34-22-10-6-5-9-21(22)28-26(33)20-15-17-7-3-4-8-19(17)23(24(20)31)30-29-18-13-11-16(12-14-18)25(27)32/h3-15,31H,2H2,1H3,(H2,27,32)(H,28,33)",BGVYDWVAGZBEMJ-UHFFFAOYSA-N,CCOC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,2786-76-7,https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Red 170,6.0E4,4.49,1.6E3,-2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pigment Red 170
"43_2neg.imzML",1,,,,5,0.8135487483813756,0.734812841709027,0.9710205617260727,5,9,0.0019986005763044557,5,2155,19,Pigment Violet 19,,PV 19; pure,,,,,Negative,,C20H12N2O2,,312.0899,"InChI=1S/C20H12N2O2/c23-19-11-5-1-3-7-15(11)21-17-10-14-18(9-13(17)19)22-16-8-4-2-6-12(16)20(14)24/h1-10H,(H,21,23)(H,22,24)",NRCMAYZCPIVABH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=CC4=C(C=C3N2)C(=O)C5=CC=CC=C5N4,1047-16-1,https://pubchem.ncbi.nlm.nih.gov/compound/13976,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Violet 19,1.7E3,5.68,1.7E3,-7.14,1.5E3,18.08,7.4E2,23.01,,,1.7E3,2.68,7.4E2,-23.62,9.1E2,-6.35,,,,,,,,,5.8E2,-4.89,,,,,,,7.3E2,-2.51,7.8E2,-10.04,,,,,6.5E2,-10.69,,,Pigment Violet 19
"43_2neg.imzML",1,,,,98,0.8029399709909462,0.7918089338304897,0.8252020453118593,98,175,0.775556087792532,98,202,9,Pigment Green 7,,PG 7; pure; 1200 sum,,,,,Negative,,C32Cl16CuN8 ,,1126.444,InChI=1S/C32Cl16N8.Cu/c33-9-1-2(10(34)18(42)17(9)41)26-49-25(1)53-27-3-4(12(36)20(44)19(43)11(3)35)29(50-27)55-31-7-8(16(40)24(48)23(47)15(7)39)32(52-31)56-30-6-5(28(51-30)54-26)13(37)21(45)22(46)14(6)38;/q-2;+2,ABFKYPFPQRDCGM-UHFFFAOYSA-N,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C3=NC4=NC(=NC5=C6C(=C([N-]5)N=C7C8=C(C(=C(C(=C8Cl)Cl)Cl)Cl)C(=N7)N=C2[N-]3)C(=C(C(=C6Cl)Cl)Cl)Cl)C9=C4C(=C(C(=C9Cl)Cl)Cl)Cl.[Cu+2],14832-14-5,https://pubchem.ncbi.nlm.nih.gov/compound/26932,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Green 7,2.1E4,7.40,8.1E3,0.34,,,,,,,,,,,5.6E3,4.58,2.2E3,-2.80,2.2E3,-0.79,6.6E2,-3.61,,,,,,,,,,,,,,,,,,,,,,,Pigment Green 7
"43_2neg.imzML",1,,,,131,0.7978890162185923,0.7416961117417447,0.9102748251722874,131,175,0.8764657310538554,131,344,9,Pigment Green 7,,PG 7; pure; 1200 sum,,,,,Negative,,C32Cl16CuN8 ,,1126.444,InChI=1S/C32Cl16N8.Cu/c33-9-1-2(10(34)18(42)17(9)41)26-49-25(1)53-27-3-4(12(36)20(44)19(43)11(3)35)29(50-27)55-31-7-8(16(40)24(48)23(47)15(7)39)32(52-31)56-30-6-5(28(51-30)54-26)13(37)21(45)22(46)14(6)38;/q-2;+2,ABFKYPFPQRDCGM-UHFFFAOYSA-N,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C3=NC4=NC(=NC5=C6C(=C([N-]5)N=C7C8=C(C(=C(C(=C8Cl)Cl)Cl)Cl)C(=N7)N=C2[N-]3)C(=C(C(=C6Cl)Cl)Cl)Cl)C9=C4C(=C(C(=C9Cl)Cl)Cl)Cl.[Cu+2],14832-14-5,https://pubchem.ncbi.nlm.nih.gov/compound/26932,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,Pigment Green 7,7.1E5,7.40,2.7E5,0.34,,,,,,,,,,,1.8E5,4.58,3.7E4,-2.80,5.6E4,-0.79,4.9E3,-3.61,,,,,,,,,,,,,,,,,,,,,,,Pigment Green 7
"43_2neg.imzML",1,,,,9,0.7861796091551997,0.8600051962451852,0.6385284349752285,9,96,0.024045849744512855,9,344,17,"Pigment Red 210, Pigment Red 266 and Pigment Red 170",,PR 210; PR 266 and PR 170; hybrid pure,,,,,Negative,,C25H20N4O4,,440.1484,"InChI=1S/C25H20N4O4/c1-33-21-9-5-4-8-20(21)27-25(32)19-14-16-6-2-3-7-18(16)22(23(19)30)29-28-17-12-10-15(11-13-17)24(26)31/h2-14,30H,1H3,(H2,26,31)(H,27,32)",HULNYTPFPARJMG-UHFFFAOYSA-N,COC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C(=C2O)N=NC4=CC=C(C=C4)C(=O)N,36968-27-1,https://pubchem.ncbi.nlm.nih.gov/compound/162235; https://pubchem.ncbi.nlm.nih.gov/compound/C.I.-Pigment-Red-170,,,,qTof,timsTOF fleX,LDI,,Crude,Corinna,Corinna,mzmine2,1,,"Pigment Red 210, Pigment Red 266 and Pigment Red 170",2.2E4,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pigment Red 210, Pigment Red 266 and Pigment Red 170"
